alignment_id,candidate_id,ku_id,external_source,external_id,method,decision,evidence_ref,accessed_date
aln-125,persons/gio-gasparo-baldoini,units/persons/gio-gasparo-baldoini,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-126,persons/giorgio-vasari,units/persons/giorgio-vasari,Wikidata,Q128027,wikimedia,same,REV-034,2026-09-10
aln-127,persons/giovan-battista-gaulli,units/persons/giovan-battista-gaulli,Wikidata,Q520573,wikimedia,same,REV-034,2026-09-10
aln-128,persons/giovanni-adamo-piola,units/persons/giovanni-adamo-piola,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-129,persons/giovanni-bonati,units/persons/giovanni-bonati,Wikidata,Q5565359,wikimedia,same,REV-034,2026-09-10
aln-130,persons/giovanni-lanfranco,units/persons/giovanni-lanfranco,Wikidata,Q447730,wikimedia,same,REV-034,2026-09-10
aln-131,persons/giovanni-odazzi,units/persons/giovanni-odazzi,Wikidata,Q464446,wikimedia,same,REV-034,2026-09-10
aln-132,persons/giovanni-perugini,units/persons/giovanni-perugini,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-133,persons/giovanni-pietro-bellori,units/persons/giovanni-pietro-bellori,Wikidata,Q714400,wikimedia,same,REV-034,2026-09-10
aln-134,persons/giulio-mancini,units/persons/giulio-mancini,Wikidata,Q3769699,wikimedia,same,REV-034,2026-09-10
aln-135,persons/giuseppe-de-rosis,units/persons/giuseppe-de-rosis,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-136,persons/giuseppe-ghezzi,units/persons/giuseppe-ghezzi,Wikidata,Q1749764,wikimedia,same,REV-034,2026-09-10
aln-137,persons/gl-bianconi,units/persons/gl-bianconi,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-138,persons/gregory-xv,units/persons/gregory-xv,Wikidata,Q132692,wikimedia,same,REV-034,2026-09-10
aln-139,persons/guercino,units/persons/guercino,Wikidata,Q334262,wikimedia,same,REV-034,2026-09-10
aln-140,persons/guglielmo-cortese,units/persons/guglielmo-cortese,Wikidata,Q1749032,wikimedia,same,REV-034,2026-09-10
aln-141,persons/guido-reni,units/persons/guido-reni,Wikidata,Q109061,wikimedia,same,REV-034,2026-09-10
aln-142,persons/innocent-x,units/persons/innocent-x,Wikidata,Q101266,wikimedia,same,REV-034,2026-09-10
aln-143,persons/innocent-xiii,units/persons/innocent-xiii,Wikidata,Q133100,wikimedia,same,REV-034,2026-09-10
aln-144,persons/jacopo-salviati,units/persons/jacopo-salviati,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-145,persons/leo-x,units/persons/leo-x,Wikidata,Q49237,wikimedia,same,REV-034,2026-09-10
aln-146,persons/leopoldo-de-medici,units/persons/leopoldo-de-medici,Wikidata,Q968920,wikimedia,same,REV-034,2026-09-10
aln-147,persons/lodovico-gimignani,units/persons/lodovico-gimignani,Wikidata,Q3839112,wikimedia,same,REV-034,2026-09-10
aln-148,persons/lord-arundell-coke-correspondent,units/persons/lord-arundell-coke-correspondent,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-149,persons/luca-giordano,units/persons/luca-giordano,Wikidata,Q332494,wikimedia,same,REV-034,2026-09-10
aln-150,persons/ludovico-ludovisi,units/persons/ludovico-ludovisi,Wikidata,Q707750,wikimedia,same,REV-034,2026-09-10
aln-151,persons/marcello-sacchetti,units/persons/marcello-sacchetti,Wikidata,Q6087600,wikimedia,same,REV-034,2026-09-10
aln-152,persons/marchese-costaguti-household,units/persons/marchese-costaguti-household,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-153,persons/marchese-del-carpio,units/persons/marchese-del-carpio,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
