reference_id,enrichment_id,ku_id,content_field,cell_index,link_index,link_label,target_type,target_id,resolution_status
ref-0beed42c082c3de8,enr-08771,units/archives/harris-andrea-sacchi-1977,cells,1,0,费顿出版社,entity,units/institutions/phaidon,resolved_entity
ref-8b6b428d51a291a2,enr-08779,units/archives/harris-andrea-sacchi-1977,value,,0,版本裁决,processing_record,patrons-and-painters-front-matter/process/knowledge.md#专著版本与出版地异文核对,not_in_package
ref-79c0d4a838c6b21c,enr-08779,units/archives/harris-andrea-sacchi-1977,evidence,,0,版本裁决,processing_record,patrons-and-painters-front-matter/process/knowledge.md#专著版本与出版地异文核对,not_in_package
ref-0ff09fdf10b9bbd1,enr-08779,units/archives/harris-andrea-sacchi-1977,cells,1,0,版本裁决,processing_record,patrons-and-painters-front-matter/process/knowledge.md#专著版本与出版地异文核对,not_in_package
ref-2a1f57592829cb0a,enr-00210,units/archives/honour-patrons-painters-review-1963,value,,0,休·昂纳,entity,units/persons/hugh-honour,resolved_entity
ref-6911c124dd68d80a,enr-00210,units/archives/honour-patrons-painters-review-1963,cells,1,0,休·昂纳,entity,units/persons/hugh-honour,resolved_entity
ref-dc517329a10192b1,enr-00211,units/archives/honour-patrons-painters-review-1963,value,,0,赞助人与画家,entity,units/archives/patrons-and-painters,resolved_entity
ref-94c008b33965ad41,enr-00211,units/archives/honour-patrons-painters-review-1963,cells,1,0,赞助人与画家,entity,units/archives/patrons-and-painters,resolved_entity
ref-53c1543d58244fab,enr-00212,units/archives/honour-patrons-painters-review-1963,value,,0,阿波罗期刊,entity,units/archives/apollo-periodical,resolved_entity
ref-d8f804ecd08845ac,enr-00212,units/archives/honour-patrons-painters-review-1963,cells,1,0,阿波罗期刊,entity,units/archives/apollo-periodical,resolved_entity
ref-360f52715865a299,enr-08789,units/archives/lhoggidi-1627,value,,0,塞孔多·兰切洛蒂（Secondo Lancellotti）,entity,units/persons/abate-lancellotti,resolved_entity
ref-e70ad7bc2ca286b7,enr-08789,units/archives/lhoggidi-1627,cells,1,0,塞孔多·兰切洛蒂（Secondo Lancellotti）,entity,units/persons/abate-lancellotti,resolved_entity
ref-2f7455d71cc79af7,enr-08792,units/archives/lhoggidi-1627,value,,0,威尼斯（Venice）,entity,units/places/venice,resolved_entity
ref-11c749f739d917be,enr-08792,units/archives/lhoggidi-1627,cells,1,0,威尼斯（Venice）,entity,units/places/venice,resolved_entity
ref-b508bfd9ceff9619,enr-08796,units/archives/lhoggidi-1627,value,,0,乌尔班八世（Urban VIII）,entity,units/persons/urbano-viii,resolved_entity
ref-27374a3b85d9056f,enr-08796,units/archives/lhoggidi-1627,cells,1,0,乌尔班八世（Urban VIII）,entity,units/persons/urbano-viii,resolved_entity
ref-fdcd285fe943d93b,enr-00243,units/archives/montaiglon-academy-correspondence,value,,0,A. 德·蒙泰格隆,entity,units/persons/a-de-montaiglon,resolved_entity
ref-bbf35bb8a875ec49,enr-00243,units/archives/montaiglon-academy-correspondence,cells,1,0,A. 德·蒙泰格隆,entity,units/persons/a-de-montaiglon,resolved_entity
ref-cc95be05f2ace99b,enr-00246,units/archives/montaiglon-academy-correspondence,value,,0,巴黎,entity,units/places/paris,resolved_entity
ref-eba54d847a7da049,enr-00246,units/archives/montaiglon-academy-correspondence,cells,1,0,巴黎,entity,units/places/paris,resolved_entity
ref-3be2b637599844c7,enr-00250,units/archives/montaiglon-academy-correspondence,value,,0,普瓦松致德安坦信（1708-10-20）,entity,units/archives/poerson-letter-1708,resolved_entity
ref-8215da008b58a061,enr-00250,units/archives/montaiglon-academy-correspondence,cells,1,0,普瓦松致德安坦信（1708-10-20）,entity,units/archives/poerson-letter-1708,resolved_entity
ref-2874f53c836a44b8,enr-08830,units/archives/montaiglon-academy-correspondence,value,,0,阿纳托尔·德·蒙泰格隆,entity,units/persons/a-de-montaiglon,resolved_entity
ref-25b6b595f0333b50,enr-08830,units/archives/montaiglon-academy-correspondence,cells,1,0,阿纳托尔·德·蒙泰格隆,entity,units/persons/a-de-montaiglon,resolved_entity
ref-cbeb8517d6397ce5,enr-08831,units/archives/montaiglon-academy-correspondence,value,,0,朱尔·吉弗雷,entity,units/persons/jules-guiffrey,resolved_entity
ref-3a7bc54523a13e4a,enr-08831,units/archives/montaiglon-academy-correspondence,cells,1,0,朱尔·吉弗雷,entity,units/persons/jules-guiffrey,resolved_entity
ref-312e7d618250dd87,enr-08836,units/archives/montaiglon-academy-correspondence,value,,0,阿纳托尔·德·蒙泰格隆,entity,units/persons/a-de-montaiglon,resolved_entity
ref-bf1d6ca2279d0c23,enr-08836,units/archives/montaiglon-academy-correspondence,cells,1,0,阿纳托尔·德·蒙泰格隆,entity,units/persons/a-de-montaiglon,resolved_entity
ref-b3430001800afc6c,enr-08837,units/archives/montaiglon-academy-correspondence,value,,0,沙拉韦兄弟书商,entity,units/institutions/charavay-freres,resolved_entity
ref-ea25faec58ac2adf,enr-08837,units/archives/montaiglon-academy-correspondence,cells,1,0,沙拉韦兄弟书商,entity,units/institutions/charavay-freres,resolved_entity
ref-103820dd6d4d7c6f,enr-08838,units/archives/montaiglon-academy-correspondence,value,,0,普瓦松致德安坦信，1708-10-20,entity,units/archives/poerson-letter-1708,resolved_entity
ref-3a58e00a15ded3b3,enr-08838,units/archives/montaiglon-academy-correspondence,cells,1,0,普瓦松致德安坦信，1708-10-20,entity,units/archives/poerson-letter-1708,resolved_entity
ref-467675c6680ccbb5,enr-00264,units/archives/museum-studies-art-institute-chicago,value,,0,十八世纪罗马绘画,entity,units/archives/waterhouse-rome-painting-1971,resolved_entity
ref-0cc4c11ab0c87f01,enr-00264,units/archives/museum-studies-art-institute-chicago,cells,1,0,十八世纪罗马绘画,entity,units/archives/waterhouse-rome-painting-1971,resolved_entity
ref-86f64611314db3d6,enr-00265,units/archives/museum-studies-art-institute-chicago,value,,0,芝加哥艺术博物馆,entity,units/institutions/art-institute-of-chicago,resolved_entity
ref-6120947436f5f99a,enr-00265,units/archives/museum-studies-art-institute-chicago,cells,1,0,芝加哥艺术博物馆,entity,units/institutions/art-institute-of-chicago,resolved_entity
ref-79ac59fe034aa22e,enr-08844,units/archives/museum-studies-art-institute-chicago,value,,0,芝加哥艺术博物馆,entity,units/institutions/art-institute-of-chicago,resolved_entity
ref-ad20f42c83ada941,enr-08844,units/archives/museum-studies-art-institute-chicago,cells,1,0,芝加哥艺术博物馆,entity,units/institutions/art-institute-of-chicago,resolved_entity
ref-9fff850df7ade366,enr-08875,units/archives/pastor-popes-english-vol33,value,,0,路德维科·冯·帕斯托,entity,units/persons/pastor-historian,resolved_entity
ref-de6ea5fd8c4a4d4f,enr-08875,units/archives/pastor-popes-english-vol33,cells,1,0,路德维科·冯·帕斯托,entity,units/persons/pastor-historian,resolved_entity
ref-0d2082478e0376ef,enr-08879,units/archives/pastor-popes-english-vol33,value,,0,欧内斯特·格拉夫,entity,units/persons/ernest-graf,resolved_entity
ref-b50470e8f2d31894,enr-08879,units/archives/pastor-popes-english-vol33,cells,1,0,欧内斯特·格拉夫,entity,units/persons/ernest-graf,resolved_entity
ref-1451c5111697e26a,enr-08881,units/archives/pastor-popes-english-vol33,value,,0,伦敦,entity,units/places/london,resolved_entity
ref-362a422388abbcdd,enr-08881,units/archives/pastor-popes-english-vol33,cells,1,0,伦敦,entity,units/places/london,resolved_entity
ref-140e1fad69a72484,enr-08882,units/archives/pastor-popes-english-vol33,value,,0,"Kegan Paul, Trench, Trubner & Co., Ltd.",entity,units/institutions/kegan-paul-trench-trubner,resolved_entity
